Symbol,Company Name,Industry,Market Cap
A,"Agilent Technologies, Inc.",Diagnostics & Research,38837680200
AA,Alcoa Corporation,Aluminum,4929396640
AACG,ATA Creativity Global,Education & Training Services,34200844
AACI,Armada Acquisition Corp. I,Shell Companies,87994054
AACT,Ares Acquisition Corporation II,Shell Companies,655000031
AADI,"Aadi Bioscience, Inc.",Biotechnology,41203512
AAGR,African Agriculture Holdings Inc.,Farm Products,48897448
AAL,American Airlines Group Inc.,Airlines,8901214800
AAMC,Altisource Asset Management Corporation,Asset Management,14124704
AAME,Atlantic American Corporation,Insurance - Life,50597704
AAN,"The Aaron's Company, Inc.",Rental & Leasing Services,321187287
AAOI,"Applied Optoelectronics, Inc.",Semiconductors,607675860
AAON,"AAON, Inc.",Building Products & Equipment,5857757290
AAP,"Advance Auto Parts, Inc.",Specialty Retail,3893810880
AAPL,Apple Inc,Consumer Electronics,2997907791000
AAT,"American Assets Trust, Inc.",REIT - Diversified,1808833918
AAU,Almaden Minerals Ltd.,Gold,18538557
AB,AllianceBernstein Holding L.P.,Asset Management,3758604050
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,140084055
ABBV,AbbVie Inc.,Drug Manufacturers - General,292002660600
ABCB,Ameris Bancorp,Banks - Regional,3665975989
ABCL,AbCellera Biologics Inc.,Biotechnology,1598836700
ABEO,Abeona Therapeutics Inc.,Biotechnology,125848364
ABEV,Ambev S.A.,Beverages - Brewers,41718795932
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,4271250918
ABIO,"ARCA biopharma, Inc.",Biotechnology,23200261
ABL,"Abacus Life, Inc.",Insurance - Life,767166078
ABLV,Able View Inc.,Advertising Agencies,110134463
ABM,ABM Industries Incorporated,Specialty Business Services,2665939251
ABNB,"Airbnb, Inc.",Travel Services,92212766300
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,196316595
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,2657878200
ABSI,Absci Corporation,Biotechnology,335972678
ABT,Abbott Laboratories,Medical Devices,198240691400
ABTS,Abits Group Inc.,Advertising Agencies,37300000
ABUS,Arbutus Biopharma Corporation,Biotechnology,397437150
ABVC,"ABVC BioPharma, Inc.",Biotechnology,10366550
ABVX,Abivax SA,Biotechnology,788921038
AC,"Associated Capital Group, Inc.",Capital Markets,748583268
ACA,"Arcosa, Inc.",Infrastructure Operations,3889097600
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,118324177
ACAC,Acri Capital Acquisition Corporation,Shell Companies,60011295
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,4557636800
ACAH,Atlantic Coastal Acquisition Corp.,Shell Companies,129721592
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,183331260
ACBA,Ace Global Business Acquisition Limited,Shell Companies,41174160
ACCD,"Accolade, Inc.",Health Information Services,929665276
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,582843798
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,1189124000
ACEL,"Accel Entertainment, Inc.",Gambling,860753495
ACET,"Adicet Bio, Inc.",Biotechnology,107047960
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,30029150840
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,7871600440
ACHL,Achilles Therapeutics plc,Biotechnology,34061878
ACHR,Archer Aviation Inc.,Aerospace & Defense,1597129640
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,96304390
ACI,"Albertsons Companies, Inc.",Grocery Stores,12626796800
ACIC,American Coastal Insurance Corporation,Insurance - Property & Casualty,513165282
ACIU,AC Immune SA,Biotechnology,399935070
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,3329098260
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,4515225300
ACLX,"Arcellx, Inc.",Biotechnology,2769532108
ACM,AECOM,Engineering & Construction,12072925860
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,1312158675
ACN,Accenture plc,Information Technology Services,230237732320
ACNB,ACNB Corporation,Banks - Regional,394672667
ACNT,Ascent Industries Co.,Steel,108342850
ACON,"Aclarion, Inc.",Health Information Services,1537186
ACOR,"Acorda Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,21426101
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,84213095
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,550609902
ACRS,"Aclaris Therapeutics, Inc.",Diagnostics & Research,89253612
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,99028021
ACST,Acasti Pharma Inc.,Biotechnology,22182584
ACT,"Enact Holdings, Inc.",Insurance - Specialty,4540356290
ACTG,Acacia Research Corporation,Specialty Business Services,393552022
ACU,Acme United Corporation,Household & Personal Products,179253500
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,2269832495
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,54245920
ADAG,Adagene Inc.,Biotechnology,114186780
ADAP,Adaptimmune Therapeutics plc,Biotechnology,164821079
ADBE,Adobe Inc.,Software - Infrastructure,272822680000
ADC,Agree Realty Corporation,REIT - Retail,6147803200
ADCT,ADC Therapeutics SA,Biotechnology,153220750
ADD,"Color Star Technology Co., Ltd.",Entertainment,3870630
ADEA,Adeia Inc.,Software - Application,1239746520
ADES,"Advanced Emissions Solutions, Inc.",Pollution & Treatment Controls,101865363
ADI,"Analog Devices, Inc.",Semiconductors,97917455220
ADIL,"Adial Pharmaceuticals, Inc.",Biotechnology,2175920
ADM,Archer-Daniels-Midland Company,Farm Products,27570463890
ADMA,"ADMA Biologics, Inc.",Biotechnology,1195370720
ADN,"Advent Technologies Holdings, Inc.",Utilities - Renewable,11329373
ADNT,Adient plc,Auto Parts,3214768087
ADOC,Edoc Acquisition Corp.,Shell Companies,41922032
ADP,"Automatic Data Processing, Inc.",Staffing & Employment Services,98466417000
ADPT,Adaptive Biotechnologies Corporation,Biotechnology,613837520
ADRT,Ault Disruptive Technologies Corporation,Shell Companies,34683065
ADSE,ADS-TEC Energy PLC,Electrical Equipment & Parts,335088985
ADSK,"Autodesk, Inc.",Software - Application,53647742850
ADT,ADT Inc.,Security & Protection Services,5497268180
ADTH,"AdTheorent Holding Company, Inc.",Advertising Agencies,220604750
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,560336880
ADTX,"Aditxt, Inc.",Biotechnology,5033148
ADUS,Addus HomeCare Corporation,Medical Care Facilities,1483482903
ADV,Advantage Solutions Inc.,Advertising Agencies,1292520240
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,87014555
ADXN,Addex Therapeutics Ltd,Biotechnology,10421986
AE,"Adams Resources & Energy, Inc.",Oil & Gas Refining & Marketing,60732594
AEAE,AltEnergy Acquisition Corp.,Shell Companies,80235873
AEE,Ameren Corporation,Utilities - Regulated Electric,18103763250
AEG,Aegon N.V.,Insurance - Diversified,10803106194
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,4064649
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,472838388
AEI,Alset EHome International Inc.,Real Estate - Development,13483275
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,4011403320
AEL,American Equity Investment Life Holding Company,Insurance - Life,4405632600
AEM,Agnico Eagle Mines Limited,Gold,24402517232
AEMD,"Aethlon Medical, Inc.",Medical Devices,4786387
AENT,Alliance Entertainment Holding Corporation,Entertainment,71352400
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,4015947540
AEON,"AEON Biopharma, Inc.",Biotechnology,300992760
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,40629179760
AER,AerCap Holdings N.V.,Rental & Leasing Services,15897679200
AERT,Aeries Technology Inc.,Consulting Services,68800000
AES,The AES Corporation,Utilities - Diversified,11236374620
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,2437321134
AEVA,"Aeva Technologies, Inc.",Auto Parts,244813837
AEY,"ADDvantage Technologies Group, Inc.",Electronics & Computer Distribution,3662040
AEYE,"AudioEye, Inc.",Software - Application,61941169
AEZS,Aeterna Zentaris Inc.,Biotechnology,9468966
AFAR,Aura FAT Projects Acquisition Corp,Shell Companies,63598612
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,104512752
AFCG,"AFC Gamma, Inc.",REIT - Specialty,247538170
AFG,"American Financial Group, Inc.",Insurance - Property & Casualty,10127898242
AFIB,"Acutus Medical, Inc.",Medical Devices,4981646
AFJK,"Aimei Health Technology Co., Ltd",Shell Companies,79829750
AFL,Aflac Incorporated,Insurance - Life,49380110000
AFMD,Affimed N.V.,Biotechnology,86616620
AFRI,Forafric Global PLC,Farm Products,602918375
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,13381902368
AFYA,Afya Limited,Education & Training Services,1891326770
AG,First Majestic Silver Corp.,Silver,1400272080
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,41632251
AGBA,AGBA Acquisition Limited,Shell Companies,25383043
